,ID,N_VICTIMAS,FECHA,AAAA,MM,DD,HORA,HH,LUGAR_DEL_HECHO,TIPO_DE_CALLE,Calle,Cruce,Dirección Normalizada,COMUNA,PARTICIPANTES,VICTIMA,ACUSADO
0,2016-0001,1,2016-01-01,2016,1,1,04:00:00,4,AV PIEDRA BUENA Y AV FERNANDEZ DE LA CRUZ,AVENIDA,PIEDRA BUENA AV.,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.","PIEDRA BUENA AV. y FERNANDEZ DE LA CRUZ, F., GRAL. AV.",8,MOTO-AUTO,MOTO,AUTO
1,2016-0002,1,2016-01-02,2016,1,2,01:15:00,1,AV GRAL PAZ  Y AV DE LOS CORRALES,GRAL PAZ,"PAZ, GRAL. AV.",DE LOS CORRALES AV.,"PAZ, GRAL. AV. y DE LOS CORRALES AV.",9,AUTO-PASAJEROS,AUTO,PASAJEROS
2,2016-0003,1,2016-01-03,2016,1,3,07:00:00,7,AV ENTRE RIOS 2034,AVENIDA,ENTRE RIOS AV.,Sin Cruce,ENTRE RIOS AV. 2034,1,MOTO-AUTO,MOTO,AUTO
3,2016-0004,1,2016-01-10,2016,1,10,00:00:00,0,AV LARRAZABAL Y GRAL VILLEGAS CONRADO,AVENIDA,LARRAZABAL AV.,"VILLEGAS, CONRADO, GRAL.","LARRAZABAL AV. y VILLEGAS, CONRADO, GRAL.",8,MOTO-SD,MOTO,SD
4,2016-0005,1,2016-01-21,2016,1,21,05:20:00,5,AV SAN JUAN Y PRESIDENTE LUIS SAENZ PEÑA ,AVENIDA,SAN JUAN AV.,"SAENZ PE?A, LUIS, PRES.","SAN JUAN AV. y SAENZ PEÃ‘A, LUIS, PRES.",1,MOTO-PASAJEROS,MOTO,PASAJEROS
5,2016-0008,1,2016-01-24,2016,1,24,18:30:00,18,AV 27 DE FEBRERO Y AV ESCALADA,AVENIDA,27 DE FEBRERO AV.,ESCALADA AV.,27 DE FEBRERO AV. y ESCALADA AV.,8,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO
6,2016-0009,1,2016-01-24,2016,1,24,19:10:00,19,NOGOYA Y JOAQUIN V. GONZALES,CALLE,NOGOYA,"GONZALEZ, JOAQUIN V.","NOGOYA y GONZALEZ, JOAQUIN V.",11,MOTO-AUTO,MOTO,AUTO
7,2016-0010,1,2016-01-29,2016,1,29,15:20:00,15,AV GENERAL PAZ Y AV DE LOS CORRALES,GRAL PAZ,"PAZ, GRAL. AV.",DE LOS CORRALES AV.,"PAZ, GRAL. AV. y DE LOS CORRALES AV.",9,MOTO-AUTO,MOTO,AUTO
8,2016-0012,1,2016-02-08,2016,2,8,01:20:00,1,AV BELGRANO Y BERNARDO DE IRIGOYEN,AVENIDA,BELGRANO AV.,"IRIGOYEN, BERNARDO DE","BELGRANO AV. e IRIGOYEN, BERNARDO DE",1,MOTO-CARGAS,MOTO,CARGAS
9,2016-0013,1,2016-02-10,2016,2,10,11:30:00,11,AV ENTRE RIOS 1366,AVENIDA,ENTRE RIOS AV.,Sin Cruce,ENTRE RIOS AV. 1366,1,PEATON-AUTO,PEATON,AUTO
10,2016-0015,1,2016-02-14,2016,2,14,05:14:00,5,AV SCALABRINI ORTIZ Y VERA,AVENIDA,"SCALABRINI ORTIZ, RAUL AV.",VERA,"SCALABRINI ORTIZ, RAUL AV. y VERA",15,PEATON-AUTO,PEATON,AUTO
11,2016-0016,1,2016-02-14,2016,2,14,22:00:00,22,AV REGIMIENTO DE PATRICIOS Y QUINQUELA MARTIN BENITO,AVENIDA,REGIMIENTO DE PATRICIOS AV.,"QUINQUELA MARTIN, BENITO","REGIMIENTO DE PATRICIOS AV. y QUINQUELA MARTIN, BENITO",4,MOTO-AUTO,MOTO,AUTO
12,2016-0017,1,2016-02-15,2016,2,15,16:54:00,16,MARIANO ACOSTA Y ANA MARIA JANER,AVENIDA,"ACOSTA, MARIANO","JANER, ANA MARIA","ACOSTA, MARIANO y JANER, ANA MARIA",8,PEATON-MOTO,PEATON,MOTO
13,2016-0019,1,2016-02-17,2016,2,17,09:30:00,9,LISANDRO DE LA TORRE Y SEVERO GARCIA GRANDE DE ZEQUEIRA ,CALLE,"DE LA TORRE, LISANDRO","GARCIA GRANDE DE ZEQUEIRA, SEVERO","DE LA TORRE, LISANDRO y GARCIA GRANDE DE ZEQUEIRA, SEVERO",9,PEATON-PASAJEROS,PEATON,PASAJEROS
14,2016-0020,1,2016-02-17,2016,2,17,16:00:00,16,SUIPACHA 156,CALLE,SUIPACHA,Sin Cruce,SUIPACHA 156,1,PEATON-AUTO,PEATON,AUTO
15,2016-0021,1,2016-02-17,2016,2,17,23:35:00,23,AV DIRECTORIO Y CURAPALIGUE,AVENIDA,DIRECTORIO AV.,CURAPALIGUE,DIRECTORIO AV. y CURAPALIGUE,7,AUTO-AUTO,AUTO,AUTO
16,2016-0022,1,2016-02-21,2016,2,21,06:00:00,6,AV 9 DE JULIO Y ADOLFO ALSINA,AVENIDA,9 DE JULIO AV.,"ALSINA, ADOLFO","9 DE JULIO AV. y ALSINA, ADOLFO",1,MOTO-AUTO,MOTO,AUTO
17,2016-0025,1,2016-02-28,2016,2,28,04:50:00,4,AV GRAL PAZ Y AV 27 DE FEBRERO,GRAL PAZ,"PAZ, GRAL. AV.",27 DE FEBRERO AV.,"PAZ, GRAL. AV. y 27 DE FEBRERO AV.",8,AUTO-AUTO,AUTO,AUTO
18,2016-0026,1,2016-02-28,2016,2,28,07:30:00,7,HOLMBERG Y VEDIA,CALLE,HOLMBERG,VEDIA,HOLMBERG y VEDIA,12,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO
19,2016-0027,1,2016-02-28,2016,2,28,09:35:00,9,CURAPALIGUE Y AVELINO DIAZ,AVENIDA,CURAPALIGUE AV.,"DIAZ, AVELINO","CURAPALIGUE AV. y DIAZ, AVELINO",7,AUTO-AUTO,AUTO,AUTO
20,2016-0028,1,2016-03-02,2016,3,2,10:00:00,10,VIAMONTE Y AV 9 DE JULIO,AVENIDA,VIAMONTE,9 DE JULIO AV.,VIAMONTE y 9 DE JULIO AV.,1,PEATON-CARGAS,PEATON,CARGAS
21,2016-0029,1,2016-03-04,2016,3,4,17:30:00,17,AV CABILDO Y DEHEZA,AVENIDA,CABILDO AV.,DEHEZA,CABILDO AV. y DEHEZA,12,PEATON-PASAJEROS,PEATON,PASAJEROS
22,2016-0031,1,2016-03-08,2016,3,8,12:30:00,12,AV GRAL PAZ Y AV CNEL ROCA,GRAL PAZ,"PAZ, GRAL. AV.","ROCA, CNEL. AV.","PAZ, GRAL. AV. y ROCA, CNEL. AV.",8,MOTO-PASAJEROS,MOTO,PASAJEROS
23,2016-0034,1,2016-03-12,2016,3,12,12:30:00,12,AV AMANCIO ALCORTA Y BONAVENA,AVENIDA,"ALCORTA, AMANCIO AV.","BONAVENA, OSCAR NATALIO","ALCORTA, AMANCIO AV. y BONAVENA, OSCAR NATALIO",4,PEATON-PASAJEROS,PEATON,PASAJEROS
24,2016-0035,1,2016-03-13,2016,3,13,06:00:00,6,AV CORRIENTES Y AV CALLAO,AVENIDA,CORRIENTES AV.,CALLAO AV.,CORRIENTES AV. y CALLAO AV.,3,MOTO-PASAJEROS,MOTO,PASAJEROS
25,2016-0036,1,2016-03-14,2016,3,14,00:15:00,0,HERRERA Y ARISTOBULO DEL VALLE,CALLE,HERRERA,"VALLE, ARISTOBULO DEL","HERRERA y VALLE, ARISTOBULO DEL",4,MOTO-PASAJEROS,MOTO,PASAJEROS
26,2016-0037,1,2016-03-19,2016,3,19,11:00:00,11,AV. EVA PERON Y QUIRNO,AVENIDA,LAFUENTE AV.,QUIRNO,LAFUENTE AV. y QUIRNO,7,MOTO-MOTO,MOTO,MOTO
27,2016-0038,1,2016-03-21,2016,3,21,08:06:00,8,AV GRAL PAZ COLECTORA Y ZUVIRIA,GRAL PAZ,"PAZ, GRAL. AV.",ZUVIRIA,"PAZ, GRAL. AV. y ZUVIRIA",8,PEATON-PASAJEROS,PEATON,PASAJEROS
28,2016-0039,1,2016-03-23,2016,3,23,01:50:00,1,BARTOLOME MITRE Y AV PUEYRREDON,AVENIDA,"MITRE, BARTOLOME",PUEYRREDON AV.,"MITRE, BARTOLOME y PUEYRREDON AV.",3,MOTO-PASAJEROS,MOTO,PASAJEROS
29,2016-0041,2,2016-03-29,2016,3,29,11:00:00,11,AV DIRECTORIO Y RIVERA INDARTE,AVENIDA,DIRECTORIO AV.,RIVERA INDARTE AV.,DIRECTORIO AV. y RIVERA INDARTE AV.,7,MOTO-CARGAS,MOTO,CARGAS
30,2016-0043,1,2016-03-30,2016,3,30,18:15:00,18,DELLEPIANE LUIS TTE GRAL COLECTORA Y MURGUIONDO,AVENIDA,"DELLEPIANE, LUIS, TTE. GRAL.",MURGUIONDO,"DELLEPIANE, LUIS, TTE. GRAL. y MURGUIONDO",8,PEATON-CARGAS,PEATON,CARGAS
31,2016-0044,1,2016-03-31,2016,3,31,19:40:00,19,AV JOSE MARIA MORENO Y BALBASTRO,AVENIDA,"MORENO, JOSE MARIA AV.",BALBASTRO,"MORENO, JOSE MARIA AV. y BALBASTRO",7,MULTIPLE,MOTO,MULTIPLE
32,2016-0045,1,2016-04-11,2016,4,11,10:25:00,10,AV GRAL PAZ Y AV DEL LIBERTADOR,GRAL PAZ,"PAZ, GRAL. AV.",DEL LIBERTADOR AV.,"PAZ, GRAL. AV. y DEL LIBERTADOR AV.",13,MOTO-SD,MOTO,SD
33,2016-0047,1,2016-04-15,2016,4,15,05:30:00,5,LIMA 1483,CALLE,LIMA,Sin Cruce,LIMA 1483,1,PEATON-PASAJEROS,PEATON,PASAJEROS
34,2016-0048,1,2016-04-15,2016,4,15,17:40:00,17,AV. CORRIENTES Y AV. DORREGO,AVENIDA,CORRIENTES AV.,DORREGO AV.,CORRIENTES AV. y DORREGO AV.,15,PEATON-PASAJEROS,PEATON,PASAJEROS
35,2016-0049,1,2016-04-17,2016,4,17,00:00:00,0,"AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI KM. 0,700",AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,Sin Cruce,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,4,SD-SD,SD,SD
36,2016-0050,1,2016-04-19,2016,4,19,09:50:00,9,TIMOTEO GORDILLO Y AV FERNANDEZ DE LA CRUZ,AVENIDA,"GORDILLO, TIMOTEO","FERNANDEZ DE LA CRUZ, F., GRAL. AV.","GORDILLO, TIMOTEO y FERNANDEZ DE LA CRUZ, F., GRAL. AV.",8,PEATON-PASAJEROS,PEATON,PASAJEROS
